Fz,FC3,FC1,FCZ,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPZ,CP2,CP4,P1,Pz,P2,POZ
-14.892999999999999,-15.625,-11.963,-13.280999999999999,-15.82,-20.752,-13.672,-15.722999999999999,-11.719000000000001,-9.9609,-13.477,-18.848,-15.479000000000001,-13.037,-9.0332,-7.7148,-9.668,-12.158,-13.867,-7.959,-7.1777,-6.3965
-11.328,-11.865,-10.205,-7.959,-12.450999999999999,-14.014000000000001,-11.475,-11.328,-9.1797,-4.9316,-10.107000000000001,-11.328,-9.6191,-9.1309,-7.0313,-4.0039,-4.2969,-6.25,-11.620999999999999,-5.2734,-4.5898,-6.6895
-11.279000000000002,-12.061,-10.889000000000001,-6.25,-12.012,-11.084000000000001,-10.449000000000002,-9.9121,-11.328,-4.9805,-10.205,-8.1543,-6.7383,-8.0566,-8.6914,-3.8086,-6.25,-6.6406,-13.720999999999998,-7.666,-6.4941,-10.01
-7.8125,-13.867,-9.7656,-6.9824,-5.8594,-7.4707,-6.8359,-11.133,-10.059,-6.0547,-6.542999999999999,-5.9082,1.1719,-10.790999999999999,-7.6172,-6.1523,-3.9551,-3.3691,-13.135,-7.2266,-5.2734,-9.9609
-13.672,-19.629,-16.113,-11.719000000000001,-11.475,-9.5215,-12.012,-16.65,-16.797,-12.402000000000001,-10.790999999999999,-8.2031,-1.6602,-14.940999999999999,-13.280999999999999,-10.937999999999999,-9.5703,-7.8613,-19.141,-12.988,-11.523,-16.797
-8.9355,-14.6,-11.572000000000001,-7.7148,-7.8613,-6.6406,-9.0332,-11.084000000000001,-12.109000000000002,-8.3496,-8.5938,-5.7617,-2.0996,-9.082,-10.059,-5.6152,-5.5176,-4.9316,-13.672,-8.7402,-7.959,-12.988
-11.377,-14.697000000000001,-10.889000000000001,-11.23,-11.133,-12.695,-8.2031,-11.279000000000002,-11.133,-10.498,-10.107000000000001,-11.23,-5.3711,-8.7891,-8.1543,-8.3008,-8.7891,-9.4727,-14.209000000000001,-9.7656,-10.595999999999998,-13.232000000000001
-10.547,-5.5176,-8.2031,-6.5918,-11.767999999999999,-9.9121,-1.0254,0.39063000000000003,-6.1035,-4.1016,-10.4,-7.4707,-6.9336,2.8809,-2.0996,0.0,-6.2012,-8.252,-5.2246,-2.7344,-5.3223,-3.5645
-8.3008,-2.4902,-4.4922,-6.3477,-10.547,-10.742,3.4668,2.9297,-3.1738,-4.4922,-10.205,-9.7168,-9.5703,3.9063,-0.29297,-2.2949,-5.7617,-7.959,-4.2969,-2.6367,-5.3223,-3.4668
-9.2285,0.5371100000000001,-4.541,-3.7598,-12.793,-9.9121,2.5391,3.9551,-3.0762,-2.832,-10.4,-8.6426,-10.352,4.4922,-0.9277299999999999,-0.9277299999999999,-6.4941,-8.6914,-4.2969,-3.0762,-5.5664,-2.6855
-10.790999999999999,-1.123,-4.541,-5.6641,-12.793,-11.084000000000001,1.5137,1.5625,-4.0039,-3.7598,-10.595999999999998,-9.668,-8.2031,1.0254,-2.6367,-2.3438,-7.1289,-8.2031,-5.6641,-4.5898,-5.8105,-3.6621
-8.9355,-0.73242,-3.9063,-3.3203,-8.8867,-6.2988,0.43945,1.1719,-3.6133,-2.4414,-5.9082,-3.5156,0.3418,-0.73242,-2.0996,-0.8789100000000001,-2.7344,-1.9043,-5.0293,-1.5625,-2.3926,-1.0254
-2.1484,2.0996,1.4648,2.4902,-2.1484,-1.7578,0.78125,2.002,1.0254,3.6133,1.0254,2.002,4.7852,0.09765599999999999,2.2461,4.3457,2.4414,3.0273,-3.0273,2.1484,2.0508,2.832
0.6835899999999999,6.4453,4.8828,5.8105,0.97656,-0.8789100000000001,2.3926,5.1758,3.5645,7.5684,3.418,2.7832,1.9531,2.9297,5.2246,7.2266,6.6895,5.3223,0.5371100000000001,6.5918,5.5176,5.1758
-1.0742,3.6133,3.6133,1.3184,-1.0254,-5.5176,2.002,3.418,3.6621,4.3945,2.0996,-1.416,-1.5625,3.7598,6.0059,6.2988,4.541,2.9297,1.0254,5.6641,4.8828,4.541
