Fz,FC3,FC1,FCZ,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPZ,CP2,CP4,P1,Pz,P2,POZ,23,24,25
-14.893,-15.625,-11.963,-13.281,-15.82,-20.752,-13.672,-15.723,-11.719,-9.9609,-13.477,-18.848,-15.479,-13.037,-9.0332,-7.7148,-9.668,-12.158,-13.867,-7.959,-7.1777,-6.3965,2.4414,-4.8828,-12.695
-11.328,-11.865,-10.205,-7.959,-12.451,-14.014,-11.475,-11.328,-9.1797,-4.9316,-10.107,-11.328,-9.6191,-9.1309,-7.0313,-4.0039,-4.2969,-6.25,-11.621,-5.2734,-4.5898,-6.6895,-2.9297,-5.3711,1.9531
-11.279,-12.061,-10.889,-6.25,-12.012,-11.084,-10.449,-9.9121,-11.328,-4.9805,-10.205,-8.1543,-6.7383,-8.0566,-8.6914,-3.8086,-6.25,-6.6406,-13.721,-7.666,-6.4941,-10.01,-0.48828,-3.9063,-3.9063
-7.8125,-13.867,-9.7656,-6.9824,-5.8594,-7.4707,-6.8359,-11.133,-10.059,-6.0547,-6.543,-5.9082,1.1719,-10.791,-7.6172,-6.1523,-3.9551,-3.3691,-13.135,-7.2266,-5.2734,-9.9609,3.9063,6.3477,3.9063
-13.672,-19.629,-16.113,-11.719,-11.475,-9.5215,-12.012,-16.65,-16.797,-12.402,-10.791,-8.2031,-1.6602,-14.941,-13.281,-10.938,-9.5703,-7.8613,-19.141,-12.988,-11.523,-16.797,-8.3008,-4.8828,-2.9297
-8.9355,-14.6,-11.572,-7.7148,-7.8613,-6.6406,-9.0332,-11.084,-12.109,-8.3496,-8.5938,-5.7617,-2.0996,-9.082,-10.059,-5.6152,-5.5176,-4.9316,-13.672,-8.7402,-7.959,-12.988,0.97656,0.48828,4.3945
-11.377,-14.697,-10.889,-11.23,-11.133,-12.695,-8.2031,-11.279,-11.133,-10.498,-10.107,-11.23,-5.3711,-8.7891,-8.1543,-8.3008,-8.7891,-9.4727,-14.209,-9.7656,-10.596,-13.232,-9.2773,-0.48828,4.3945
-10.547,-5.5176,-8.2031,-6.5918,-11.768,-9.9121,-1.0254,0.39063,-6.1035,-4.1016,-10.4,-7.4707,-6.9336,2.8809,-2.0996,0,-6.2012,-8.252,-5.2246,-2.7344,-5.3223,-3.5645,-0.48828,-2.9297,1.9531
-8.3008,-2.4902,-4.4922,-6.3477,-10.547,-10.742,3.4668,2.9297,-3.1738,-4.4922,-10.205,-9.7168,-9.5703,3.9063,-0.29297,-2.2949,-5.7617,-7.959,-4.2969,-2.6367,-5.3223,-3.4668,0.48828,-0.97656,-1.9531
-9.2285,0.53711,-4.541,-3.7598,-12.793,-9.9121,2.5391,3.9551,-3.0762,-2.832,-10.4,-8.6426,-10.352,4.4922,-0.92773,-0.92773,-6.4941,-8.6914,-4.2969,-3.0762,-5.5664,-2.6855,-1.9531,0.48828,-5.3711
-10.791,-1.123,-4.541,-5.6641,-12.793,-11.084,1.5137,1.5625,-4.0039,-3.7598,-10.596,-9.668,-8.2031,1.0254,-2.6367,-2.3438,-7.1289,-8.2031,-5.6641,-4.5898,-5.8105,-3.6621,-0.97656,0,-6.3477
-8.9355,-0.73242,-3.9063,-3.3203,-8.8867,-6.2988,0.43945,1.1719,-3.6133,-2.4414,-5.9082,-3.5156,0.3418,-0.73242,-2.0996,-0.87891,-2.7344,-1.9043,-5.0293,-1.5625,-2.3926,-1.0254,1.9531,2.9297,-2.4414
